prompt,Result_amazon.nova-lite-v1:0,Result_amazon.nova-micro-v1:0,Result_amazon.nova-premier-v1:0,Result_amazon.nova-pro-v1:0,Result_anthropic.claude-3-5-haiku-20241022-v1:0,Result_anthropic.claude-3-5-sonnet-20240620-v1:0,Result_anthropic.claude-3-7-sonnet-20250219-v1:0,Result_gemini-2.5-flash,Result_gemini-2.5-pro,Result_gpt-4o,Result_gpt-4o-mini,Result_gpt-5,Result_meta.llama3-2-11b-instruct-v1:0,Result_meta.llama4-maverick-17b-instruct-v1:0,Result_meta.llama4-scout-17b-instruct-v1:0,Result_o1-mini,Score_amazon.nova-lite-v1:0,Score_amazon.nova-micro-v1:0,Score_amazon.nova-premier-v1:0,Score_amazon.nova-pro-v1:0,Score_anthropic.claude-3-5-haiku-20241022-v1:0,Score_anthropic.claude-3-5-sonnet-20240620-v1:0,Score_anthropic.claude-3-7-sonnet-20250219-v1:0,Score_gemini-2.5-flash,Score_gemini-2.5-pro,Score_gpt-4o,Score_gpt-4o-mini,Score_gpt-5,Score_meta.llama3-2-11b-instruct-v1:0,Score_meta.llama4-maverick-17b-instruct-v1:0,Score_meta.llama4-scout-17b-instruct-v1:0,Score_o1-mini
how many premium subscribers did spotify gain or lose from the beginning to end of the fiscal year 2022?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2
how many professional teams are based in los angeles?,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,2,3,2,2,1,2,2,2,2,2,2,2
how many races did lewis hamilton win last season?,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2
how many races did max verstappen win in 2023?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2
how many reading and leeds festivals has the band foo fighters headlined?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many receiving touchdowns does kawhi leonard have?,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4
how many receiving yards did christian mccaffrey average per game in 2023?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many regional confederations does fédération internationale de volleyball have?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many regional confederations does world baseball softball confederation have?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many regular season games are left for the boston bruins?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many sales did daddy yankee average in the us on the albums barrio fino en directo and barrio fino?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2
how many sales were made by sleep dealer at the box office across the globe?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
how many sales were made by undisputed iii: redemption at the box office across the globe?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many sales were made by wild wild west at the box office across the globe?,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,5,5,2,5,5,5,4
how many seasons in his career did tony romo play and start in every game?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1
how many shares of united rentals stock can i buy with $100?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4
how many siblings does celine dion have?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5
how many singers do westlife have?,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,2,1,1,5,5,5,5,1,1,1,1,5,5,5,5,4
how many singers have won the grammy award for album of the year at least twice?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many singles does ludacris have,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,5,5,5,3,3,4,3,4,5,5,5,5
how many singles titles has karolina muchova won in 2024?,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,4
how many solo albums does kanye have?,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,1,5,4,5,4,5,5,5,5
how many songs are in adele's "21"?,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,1,1,1,2,2,1,1,2,4,1,4,4,2,5
how many songs are on taylor swift's 1989 (taylor's version) album?,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,5,1,3,1,1,1,1,1,1,1,1,2,2,2
how many songs are on taylor swift's latest album?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many songs did james arthur release in 2016?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many songs has bob dylan written?,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,3,2,2,3,2,2,2,2,2,2,2,2,3,3,3
"how many songs has the band queen released that have been written by their bassist, john deacon?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1
how many songs has the band the beatles released that have been recorded at abbey road studios?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2
how many songs have been released by barbra streisand since winning he/she won their first grammy?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many songs in total did michael jackson write during his career?,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,5,5,3,5,5,3,3,3,3,3,3,3,3,5,5
how many songs were released by the artist who received best new artist in 57th grammy (2014)?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many spouses did the latest president of the united states have?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many stanley cup championships did the detroit red wings win in the 1990s?,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,2,2,1,3,3,3,1,4,2,5,2,5
how many stanley cups have the boston bruins won?,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5
how many states exist in the us?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,4,5,4,5,4,4,4,4,4,5,5,5
"how many stock exchanges are operated by nasdaq, inc?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2
how many stock holdings in spy that has over 5% weightage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
how many streams on average for the top two streamed artic monkeys songs on spotify?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many strikeouts per inning did shohei ohtani have in 2022?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,2,1,1,2,2,2,1,2,2,5
how many studio albums has shakira released between 2000 and 2010?,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,5,1,2,1,2,4,1,1,3,1,2,2,2,2
how many studio albums has the band queen released throughout their career?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,4,3,4,4,3,3,3,4,3,3,3,5,4,5
how many stunt doubles were in the second rush hour movie?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many successful bands was chris cornell in?,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,2,3,2,2,2,2,2,2,1,5,3,3,3
how many super bowl mvp awards has tom brady won?,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,5,5,5,4,5,5,4,1,3,4,4,3,1,5,5,5
how many super bowl titles have the cowboys won?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,4,5,5,4,4,4,3,4,3,5,5,5,4
how many tablespoons of sugar does this recipe require if it uses 2 cups?,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,4,1,4,1,1,1,5,1,1,1,4,1,5,1,5
how many teams are in the nba g-league?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,5,5,4,4,4,4,4,4,5,5,5,5
how many teams has kelly oubre jr. played for?,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,5,5,5,4,2,5,4,5,4,5,4,5,2,5,5,5
how many teams make the playoffs in the nba?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
how many teams make up the nfl?,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5
how many tech stocks has higher market cap than nvidia?,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,3,3,3,3,3,3,2,2,2,2,2,3,3,3,4
how many tickets were sold for the "transformers" movie?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many tickets were sold for the barbie movie?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3
how many times did ftai aviation pay dividends to its shareholders in 2023?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1
how many times did krispy kreme pay dividends to its investors in 2022?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,2,1,1,1,2,1,1,1,1,1,1,1
how many times did ross geller get divorced?,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
how many times did tom cruise win people's choice awards,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1
how many times does apple report their earnings each year?,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,3,4,4,4,5,5,4,3,1,3,1,3,1,5,5,5
how many times has abigail johnson been named as one of the most powerful women in the world by forbes?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1
how many times has andy murray won the french open tennis tournament?,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,5,2,5,2,2,2,2,2,2,2,2,2,2,5,2,5
how many times has angela merkel been named as one of the most influential people in the world by time magazine?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many times has angelina jolie been named as one of time magazine's 100 most influential people in the world?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many times has angelina jolie played maleficent in a movie?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,3,5,5,3,3,3,3,3,3,5,5,4,5
how many times has antoine griezmann won the ballon d'or award?,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,5
how many times has ariana grande been nominated for the american music award for artist of the year?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many times has beyoncé won a grammy award?,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,3,4,4,3,2,2,3,3,3,3,4,4,4
how many times has bjorn borg won the australian open singles title?,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,5,2,5,2,5,5,2,2,5,2,2,5,5,5,2,5
how many times has brad pitt been married?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,5,5,3,3,3,3,3,3,3,4,5,5
how many times has brooks koepka won the masters tournament?,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,2,5,4,4,4,5,2,2,5,2,2,5,5,5,2,5
how many times has chris hemsworth appeared in a tv show?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,2,2,2,1,1,1,1,1,2,2,3,2
how many times has collin morikawa won the masters tournament?,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,5,2,5,2,5,5,2,2,2,2,2,4,5,5,5,4
how many times has david beckham won the fifa world player of the year award?,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,5,2,1,1,5,1,5,1,1,1,2
how many times has dwayne "the rock" johnson appeared in a film as a demigod?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,1,1,1,1,1,1,2,3,2
how many times has dwayne "the rock" johnson been named as one of time magazine's 100 most influential people in the world?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,2,2,2,1,1,1,1,1,1,2,2,2
how many times has dwayne "the rock" johnson won a kids' choice awards?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2
how many times has dwayne wade won the nba most valuable player award?,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,5,5,2,4,2,5
how many times has dwyane wade won the nba dunk contest?,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,2,2,5,2,2,2,2,2,2,2,2,5,2,2,2,5
how many times has emma stone showcased her singing talent in a movie?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2
how many times has frank capra won the academy award for best director?,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,4,5,5,3,1,1,1,3,3,4,4,4,3,5,1,5
how many times has giorgia meloni been named as one of the most powerful women in the world by forbes?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,2,2,1,1,1,1,1,2,2,3,2
how many times has jennifer lawrence acted in a movie she produced?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many times has jennifer lawrence been named as one of forbes' highest-paid actresses?,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3,3,4,3,5,5,2,1,3,3,3,3,3,4,4,5
how many times has jennifer lawrence been named as one of the highest-paid actresses in the world by forbes?,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,3,4,4,3,5,4,2,3,1,3,3,3,3,4,3,5
how many times has jennifer lawrence been nominated for an academy award?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,5,4,3,3,3,3,3,3,3,4,4,5
how many times has jennifer lopez been married?,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
how many times has jennifer lopez been named as one of forbes' 100 most powerful celebrities?,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,4,3,1,2,2,2,1,3,1,1,2,1,2,2,2
how many times has jennifer lopez been named as one of time magazine's 100 most influential people in the world?,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,4,5,5,4,3,3,-1,4,3,4,5,4,5
how many times has jimmy connors won the french open singles title?,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,5,2,2,2,2,2,2,2,2,-1,2,5,5,2,2,5
how many times has jodie foster won the jupiter award for best international actress?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many times has john mcenroe won the french open?,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2
how many times has justin bieber been named as one of the most influential people in the world by time magazine?,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,3,5,5,4,3,3,3,4,3,3,5,4,5
how many times has justin bieber won the american music award for artist of the year?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2
how many times has kanye west won the grammy award for producer of the year?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,4
how many times has kawhi leonard won the nba championship with the clippers?,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
how many times has kevin durant won the nba championship with the oklahoma city thunder?,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,2,2,5,5,2,5,5,2,2,5,1,5,5,5,5,5
how many times has klay thompson won the nba finals mvp award?,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
how many times has lady gaga been credited with an acting role?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1
how many times has lady gaga been named one of billboard's artists of the decade?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1
how many times has lady gaga been nominated for an academy award?,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,2,3,3,2,4,2,2,2,2,2,2,2,2
how many times has lady gaga played a character with a mental illness in a movie?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4
how many times has lady gaga won a grammy award for album of the year?,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,3,2,4
how many times has lady gaga won the academy award for best original song?,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,4,4,1,1,2,1,3,3,3,3,3,1,3,1,1
how many times has lebron james won the nba championship with the boston celtics?,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,5,2,5,2,2,5,2,2,2,2,5,4,2,5,5,5
how many times has lee trevino won the masters golf tournament?,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
how many times has lionel messi won the fifa club world cup with psg?,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,2,5,2,2,2,2,2,2,2,2,4,2,4,2,5
how many times has lionel messi won the mls cup with inter miami?,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,2,2,5,3,2,2,2,2,2,2,2,3,2,4,2,4
how many times has lizzo won the grammy award for album of the year?,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,4,3,1,1,1,1,1,1,3,3,1,3,1,3
how many times has martin scorsese been nominated for the academy award for best director?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
how many times has meryl streep been nominated for an academy award for best actress?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2
how many times has pete sampras won the french open singles title?,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5
how many times has rory mcilroy won the masters tournament?,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5
how many times has ruben östlund won the palme d'or at the cannes film festival?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,5,5,3,3,3,3,3,3,3,4,5,5
how many times has russell westbrook won the nba dunk contest?,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,4,2,5,4,5,5,2,2,4,2,2,4,2,5,2,5
how many times has sunisa lee won the olympic all-around individual title?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,3,5,5,3,3,3,3,3,3,2,5,5,5
how many times has taylor swift been named one of time magazine's 100 most influential people in the world?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,2,2,2,2,3,3,3,3,3,3,4,2,2
how many times has taylor swift won a grammy award for song of the year?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3
how many times has taylor swift won the billboard award for best country artist?,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,2,1,1,2,1,1,1,1,2,2,1,2
how many times has taylor swift won the grammy award for album of the year?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,5,5,3,3,3,3,3,3,3,4,4,5
how many times has taylor swift won the grammy award for best music video?,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,5,5,1,5,5,1,1,1,1,1,1,2,5,4,5
how many times has the most popular album of ed sheeran been sold?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2
how many times has thierry henry won the fifa world player of the year award?,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,2,2,5,2,2,2,2,2,2,2,5,5,3,5,2,5
how many times has tom hanks played himself in a movie?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many times has tom kite won the masters tournament?,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,2,2,2,2,2,2,1,5,1,1,2,5
how many times has tom weiskopf won the masters tournament?,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,5,5,5,5,5,5,2,2,4,2,5,5,5,5,5,5
how many times has trevor noah hosted the grammys?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
how many times has u2 won the grammy award for album of the year?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3
how many times has venus williams won the french open?,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,5,5,5,2,2,2,2,2,2,2,2,4,2,5,2,5
how many times have zendaya and tom holland starred in a film together?,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,3,1,4,3,2,2,4,1,1,1,1,3,1,3,2,2
how many times in a year does apple pay dividend to its investors?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,5,5,3,3,3,3,3,3,4,5,5,5
how many times was barack obama named one of the world's most powerful people by forbes?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2
how many times was portland trail blazers on the losing side as the home team during 2023-01?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2
how many total albums harry styles release as a solo artist,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
how many total games did utah jazz win during 2021?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many total home runs did barry bonds hit in his career?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5
how many total layoffs in 2023?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3
how many total likes do the rock and will smith have on tiktok combined?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many tour de france titles has bernard hinault won?,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,3,5,3,4,4,3,4,5,5,5
how many tour de france titles has chris froome won?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,4,4,3,3,4,3,3,5,5,5
how many tour de france titles has jonas vingegaard won?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,4,3,3,3,4,4,4,5,5,5
how many tour de france titles has lance armstrong won?,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3,3,5,5,5,4,2,2,2,3,4,2,4,5,5
how many tours has beyoncé gone on by 2006?,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,2,3,4,2,3,2,1,2,1,1,2,2,2,3,3,3
how many toys does andy have in the third toy story movie?,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,2,2,3,2,2,3,2,1,1,1,1,1,1,4,3,4
how many tracks are in drake's album "for all the dogs"?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,4,4,4,4,4,5,4,4,5,5,5
how many tracks are in drake's last album?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many trading days in a week?,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,4,2,2,2,1,3,1,1,2,1,1,2,2,4
how many traps did kevin mccallister have in the first home alone movie?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
how many turnovers has d'angelo russell had in the past 5 games?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2
how many tv shows did lewis milestone direct throughout his career?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
how many units did the beatles sell in their career so far?,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,4,4,3,2,2,2,2,2,4,4,5
how many units has the most popular album of ed sheeran been sold?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2
how many weeks are in a year?,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,4,5,4,5,4,5,4,5,5,4,4,4,4,4,5
how many women billionaires are there in the united states as of 2023?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,1,1,1,1,2,1,1,2,1,3
"how many women's grand slams since 2022 have been won by someone other than iga, sabalenka, or rybakina?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
how many words does eminem's song rap god have in it?,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,2,2,3,3,2,2,2,3,2,2,2,4,3,3
how many world cup titles has the argentina national soccer team won?,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,3,5,5,4,4,3,3,4,3,5,5,5,5
how many world series have the chicago white sox won?,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
